[2025-03-17 03:51:52 : INFO] - Cache for associated TranslatePress translation posts for Title: "Borrador automático" have been purged 
[2025-03-17 03:51:52 : INFO] - Cache for associated TranslatePress translation posts' feeds for Title: "Borrador automático" have been purged 
[2025-03-17 03:51:52 : INFO] - Cache for URL: http://eugenioazurmendi.local/?p=182 has been purged, triggered by action: save_post 
[2025-03-17 03:51:52 : INFO] - Cache for previous post (with URL: http://eugenioazurmendi.local/berta/) adjacent to post with id: 182 has been purged, triggered by action: save_post 
[2025-03-17 03:51:52 : INFO] - Cache for all archives page associated with post_type: post and Title: "Borrador automático" have been purged, triggered by action: save_post 
[2025-03-17 05:07:14 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-03-17 05:07:38 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-03-17 18:17:47 : INFO] - Full Cache Purge triggered by: plugin activation/deactivation 
[2025-03-17 19:33:19 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 19:33:19 : INFO] - Cache for URL: http://eugenioazurmendi.local/berta/ has been purged, triggered by action: save_post 
[2025-03-17 19:33:19 : INFO] - Cache for all archives page associated with post_type: post and Title: "Berta" have been purged, triggered by action: save_post 
[2025-03-17 19:33:19 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 19:33:19 : INFO] - Cache for URL: http://eugenioazurmendi.local/berta/ has been purged, triggered by action: save_post 
[2025-03-17 19:33:19 : INFO] - Cache for all archives page associated with post_type: post and Title: "Berta" have been purged, triggered by action: save_post 
[2025-03-17 19:33:30 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 19:33:30 : INFO] - Cache for URL: http://eugenioazurmendi.local/berta/ has been purged, triggered by action: save_post 
[2025-03-17 19:33:30 : INFO] - Cache for all archives page associated with post_type: post and Title: "Berta" have been purged, triggered by action: save_post 
[2025-03-17 19:33:30 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 19:33:30 : INFO] - Cache for URL: http://eugenioazurmendi.local/berta/ has been purged, triggered by action: save_post 
[2025-03-17 19:33:30 : INFO] - Cache for all archives page associated with post_type: post and Title: "Berta" have been purged, triggered by action: save_post 
[2025-03-17 19:35:36 : INFO] - Cache for URL: http://eugenioazurmendi.local/?p=187 has been purged, triggered by action: save_post 
[2025-03-17 19:35:36 : INFO] - Cache for previous post (with URL: http://eugenioazurmendi.local/berta/) adjacent to post with id: 187 has been purged, triggered by action: save_post 
[2025-03-17 19:35:36 : INFO] - Cache for all archives page associated with post_type: post and Title: "Borrador automático" have been purged, triggered by action: save_post 
[2025-03-17 19:35:39 : INFO] - Cache for URL: http://eugenioazurmendi.local/?p=188 has been purged, triggered by action: save_post 
[2025-03-17 19:35:39 : INFO] - Cache for previous post (with URL: http://eugenioazurmendi.local/berta/) adjacent to post with id: 188 has been purged, triggered by action: save_post 
[2025-03-17 19:35:39 : INFO] - Cache for all archives page associated with post_type: post and Title: "Borrador automático" have been purged, triggered by action: save_post 
[2025-03-17 19:35:52 : INFO] - Cache for URL: http://eugenioazurmendi.local/?p=189 has been purged, triggered by action: save_post 
[2025-03-17 19:35:52 : INFO] - Cache for previous post (with URL: http://eugenioazurmendi.local/berta/) adjacent to post with id: 189 has been purged, triggered by action: save_post 
[2025-03-17 19:35:52 : INFO] - Cache for all archives page associated with post_type: post and Title: "Borrador automático" have been purged, triggered by action: save_post 
[2025-03-17 19:40:19 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 19:40:19 : INFO] - Cache for URL: http://eugenioazurmendi.local/berta/ has been purged, triggered by action: save_post 
[2025-03-17 19:40:19 : INFO] - Cache for all archives page associated with post_type: post and Title: "Berta" have been purged, triggered by action: save_post 
[2025-03-17 19:40:19 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 19:40:19 : INFO] - Cache for URL: http://eugenioazurmendi.local/berta/ has been purged, triggered by action: save_post 
[2025-03-17 19:40:19 : INFO] - Cache for all archives page associated with post_type: post and Title: "Berta" have been purged, triggered by action: save_post 
[2025-03-17 19:40:33 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 19:40:33 : INFO] - Cache for URL: http://eugenioazurmendi.local/berta/ has been purged, triggered by action: save_post 
[2025-03-17 19:40:33 : INFO] - Cache for all archives page associated with post_type: post and Title: "Berta" have been purged, triggered by action: save_post 
[2025-03-17 19:40:33 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 19:40:33 : INFO] - Cache for URL: http://eugenioazurmendi.local/berta/ has been purged, triggered by action: save_post 
[2025-03-17 19:40:33 : INFO] - Cache for all archives page associated with post_type: post and Title: "Berta" have been purged, triggered by action: save_post 
[2025-03-17 19:40:38 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 19:40:38 : INFO] - Cache for URL: http://eugenioazurmendi.local/berta/ has been purged, triggered by action: save_post 
[2025-03-17 19:40:38 : INFO] - Cache for all archives page associated with post_type: post and Title: "Berta" have been purged, triggered by action: save_post 
[2025-03-17 19:40:38 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 19:40:38 : INFO] - Cache for URL: http://eugenioazurmendi.local/berta/ has been purged, triggered by action: save_post 
[2025-03-17 19:40:38 : INFO] - Cache for all archives page associated with post_type: post and Title: "Berta" have been purged, triggered by action: save_post 
[2025-03-17 19:40:43 : INFO] - Cache for URL: http://eugenioazurmendi.local/?p=189 has been purged, triggered by action: wp_trash_post 
[2025-03-17 19:40:43 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 19:40:43 : INFO] - Cache for URL: http://eugenioazurmendi.local/?p=189 has been purged, triggered by action: save_post 
[2025-03-17 19:40:43 : INFO] - Cache for previous post (with URL: http://eugenioazurmendi.local/berta/) adjacent to post with id: 189 has been purged, triggered by action: save_post 
[2025-03-17 19:40:43 : INFO] - Cache for all archives page associated with post_type: post and Title: "Mi web" have been purged, triggered by action: save_post 
[2025-03-17 19:40:45 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 19:40:45 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 19:40:45 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 19:40:45 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 19:40:45 : INFO] - Cache for URL: http://eugenioazurmendi.local/?p=194 has been purged, triggered by action: save_post 
[2025-03-17 19:40:45 : INFO] - Cache for previous post (with URL: http://eugenioazurmendi.local/berta/) adjacent to post with id: 194 has been purged, triggered by action: save_post 
[2025-03-17 19:40:45 : INFO] - Cache for all archives page associated with post_type: post and Title: "Berta #2" have been purged, triggered by action: save_post 
[2025-03-17 19:40:45 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 19:40:45 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 20:04:29 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 20:04:29 : INFO] - Cache for URL: http://eugenioazurmendi.local/?p=194 has been purged, triggered by action: save_post 
[2025-03-17 20:04:29 : INFO] - Cache for previous post (with URL: http://eugenioazurmendi.local/berta/) adjacent to post with id: 194 has been purged, triggered by action: save_post 
[2025-03-17 20:04:29 : INFO] - Cache for all archives page associated with post_type: post and Title: "mi Web" have been purged, triggered by action: save_post 
[2025-03-17 20:04:29 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 20:04:29 : INFO] - Cache for URL: http://eugenioazurmendi.local/?p=194 has been purged, triggered by action: save_post 
[2025-03-17 20:04:29 : INFO] - Cache for previous post (with URL: http://eugenioazurmendi.local/berta/) adjacent to post with id: 194 has been purged, triggered by action: save_post 
[2025-03-17 20:04:29 : INFO] - Cache for all archives page associated with post_type: post and Title: "mi Web" have been purged, triggered by action: save_post 
[2025-03-17 20:04:34 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 20:04:34 : INFO] - Cache for URL: http://eugenioazurmendi.local/mi-web/ has been purged, triggered by action: save_post 
[2025-03-17 20:04:34 : INFO] - Cache for previous post (with URL: http://eugenioazurmendi.local/berta/) adjacent to post with id: 194 has been purged, triggered by action: save_post 
[2025-03-17 20:04:34 : INFO] - Cache for all archives page associated with post_type: post and Title: "mi Web" have been purged, triggered by action: save_post 
[2025-03-17 20:04:34 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 20:04:34 : INFO] - Cache for URL: http://eugenioazurmendi.local/mi-web/ has been purged, triggered by action: save_post 
[2025-03-17 20:04:34 : INFO] - Cache for previous post (with URL: http://eugenioazurmendi.local/berta/) adjacent to post with id: 194 has been purged, triggered by action: save_post 
[2025-03-17 20:04:34 : INFO] - Cache for all archives page associated with post_type: post and Title: "mi Web" have been purged, triggered by action: save_post 
[2025-03-17 20:05:06 : INFO] - Cache for URL: http://eugenioazurmendi.local/laboratorio/ has been purged, triggered by action: save_post 
[2025-03-17 20:06:19 : INFO] - Cache for URL: http://eugenioazurmendi.local/laboratorio/ has been purged, triggered by action: save_post 
[2025-03-17 20:06:19 : INFO] - Cache for URL: http://eugenioazurmendi.local/laboratorio/ has been purged, triggered by action: save_post 
[2025-03-17 20:29:38 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-03-17 20:29:38 : INFO] - Cache for URL: http://eugenioazurmendi.local/mi-web/ has been purged, triggered by action: save_post 
